timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase
1774300229429,0.00354193,1.01441,-0.15939,0.059716899999999996,-8.238370000000001e-05,-0.0196513,0,0,3.28027,5,40.656,2
1774300229443,0.00275709,1.01434,-0.155697,0.056491400000000004,2.5002100000000002e-05,-0.0191827,0,0,3.29643,5,40.67,2
1774300229456,0.0033839,1.0155,-0.154878,0.0539178,-0.000156239,-0.019083000000000003,0,0,3.2758,5,40.683,2
1774300229469,0.00285155,1.01347,-0.152536,0.0497801,4.94909e-05,-0.018359399999999998,0,0,3.33015,5,40.696,2
1774300229483,0.00287632,1.01175,-0.150232,0.047206200000000004,0.00020514399999999999,-0.0179547,0,0,3.32654,5,40.71,2
1774300229496,0.00318828,1.01143,-0.149566,0.0451321,0.000283556,-0.0175813,0,0,3.30058,5,40.723,2
1774300229510,0.00228011,1.01155,-0.147734,0.0429859,0.00035757,-0.01755,0,0,3.28206,5,40.737,2
1774300229523,0.00208431,1.01184,-0.147701,0.0410971,0.000393177,-0.0175376,0,0,3.27767,5,40.75,2
1774300229536,0.0023882,1.00917,-0.144252,0.0394341,0.00042250500000000005,-0.0173717,0,0,3.27936,5,40.763,2
1774300229550,0.00155773,1.01091,-0.14373,0.0384168,0.000732791,-0.0172536,0,0,3.28769,5,40.777,2
1774300229563,0.000945085,1.01078,-0.142858,0.0366987,0.00102139,-0.0173606,0,0,3.26904,5,40.79,2
1774300229577,0.00132015,1.00929,-0.140999,0.0353381,0.00116963,-0.017200299999999998,0,0,3.31843,5,40.804,2
1774300229590,0.000664513,1.00857,-0.139082,0.0339896,0.00139091,-0.0173231,0,0,3.30186,5,40.817,2
1774300229603,0.000752898,1.00795,-0.138583,0.0332392,0.0013557,-0.0174604,0,0,3.29862,5,40.83,2
1774300229617,0.000901479,1.00889,-0.138545,0.0322268,0.00132248,-0.0174145,0,0,3.29164,5,40.844,2
1774300229630,0.000808671,1.00858,-0.137942,0.031057100000000004,0.0014367,-0.0174225,0,0,3.28036,5,40.857,2
1774300229644,0.000709244,1.00817,-0.13807,0.030492599999999998,0.0014246200000000001,-0.0176527,0,0,3.30941,5,40.871,2
1774300229657,0.000272505,1.00838,-0.138395,0.0295743,0.00141322,-0.0178957,0,0,3.27534,5,40.884,2
1774300229670,4.34247e-06,1.00634,-0.136731,0.0286861,0.00135536,-0.017889600000000002,0,0,3.30595,5,40.897,2
1774300229684,0.000911688,1.00509,-0.131168,0.0283317,0.00122795,-0.0175969,0,0,3.27051,5,40.911,2
1774300229697,0.00108536,1.00878,-0.131731,0.0285794,0.0013774500000000001,-0.0175947,0,0,3.32578,5,40.924,2
1774300229711,0.000984506,1.00917,-0.131714,0.027986800000000003,0.00150143,-0.0172586,0,0,3.30415,5,40.938,2
1774300229724,0.00141123,1.00804,-0.129936,0.0270121,0.00168697,-0.0164789,0,0,3.27286,5,40.951,2
1774300229737,0.00142426,1.00383,-0.127852,0.0263191,0.00199484,-0.0156274,0,0,3.29275,5,40.964,2
1774300229751,0.000860155,1.00282,-0.124908,0.027240600000000004,0.0023496700000000003,-0.015358799999999999,0,0,3.27977,5,40.978,2
1774300229764,0.000213956,1.0073,-0.121208,0.0281833,0.0027830700000000003,-0.0149426,0,0,3.36073,5,40.991,2
1774300229778,0.00126161,1.00883,-0.121918,0.028692000000000002,0.00305515,-0.014477,0,0,3.27362,5,41.005,2
1774300229792,0.00174028,1.01179,-0.121124,0.028821,0.00313641,-0.0142173,0,0,4.06685,5,41.019,2
1774300229805,0.00188839,1.00875,-0.118998,0.028184900000000002,0.00330731,-0.0138437,0,0,3.27056,5,41.032,2
1774300229819,0.00185919,1.00781,-0.118331,0.029335800000000002,0.0032117200000000004,-0.014060600000000001,0,0,3.27227,5,41.046,2
1774300229832,0.00204481,1.01075,-0.12062,0.0305848,0.00303156,-0.014552099999999998,0,0,3.2753,5,41.059,2
1774300229845,0.0018059,1.00995,-0.122434,0.030770400000000003,0.0026859600000000003,-0.015166,0,0,3.27182,5,41.072,2
1774300229859,0.00110767,1.00599,-0.118446,0.031005500000000002,0.00259096,-0.0157626,0,0,3.27212,5,41.086,2
