Starting real-time gait reader (100Hz). Press any key to stop.
Expected Class Range: 1-5.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:0.117432 ay:-0.816162 az:-0.618164 gx:-11.8626 gy:-1.94656 gz:-0.740458 | Class: 5 | Delay: 3.28141 ms
ax:0.12207 ay:-0.80957 az:-0.618164 gx:-8.26718 gy:-4.10687 gz:-1.63359 | Class: 5 | Delay: 3.28115 ms
ax:0.124268 ay:-0.81543 az:-0.618408 gx:-4.80153 gy:-5.35115 gz:-1.58779 | Class: 5 | Delay: 3.26952 ms
ax:0.11084 ay:-0.805664 az:-0.604248 gx:-0.152672 gy:-5.44275 gz:-0.419847 | Class: 5 | Delay: 3.27491 ms
ax:0.0976562 ay:-0.807617 az:-0.605713 gx:3.07634 gy:-5.57252 gz:-0.0381679 | Class: 5 | Delay: 3.26848 ms
ax:0.0847168 ay:-0.84375 az:-0.604248 gx:3.74046 gy:-4.22137 gz:-0.389313 | Class: 1 | Delay: 3.27228 ms
ax:0.0734863 ay:-0.869141 az:-0.608398 gx:3.9542 gy:-2.71756 gz:-1.23664 | Class: 1 | Delay: 3.27197 ms
ax:0.0612793 ay:-0.888428 az:-0.605957 gx:3.08397 gy:0.0992366 gz:-1.77863 | Class: 1 | Delay: 3.27628 ms
ax:0.0761719 ay:-0.902344 az:-0.58374 gx:0.450382 gy:2.35115 gz:-1.83969 | Class: 1 | Delay: 3.27539 ms
ax:0.074707 ay:-0.904297 az:-0.5896 gx:-2.59542 gy:3.94656 gz:-2.29008 | Class: 1 | Delay: 3.27406 ms
ax:0.0949707 ay:-0.897705 az:-0.585693 gx:-5.80153 gy:5.76336 gz:-4.18321 | Class: 1 | Delay: 3.27185 ms
ax:0.088623 ay:-0.897461 az:-0.58252 gx:-9.54198 gy:6.54962 gz:-6.16794 | Class: 5 | Delay: 3.27341 ms
ax:0.0876465 ay:-0.916016 az:-0.58667 gx:-13.1527 gy:7.84733 gz:-5.73282 | Class: 5 | Delay: 3.27074 ms
ax:0.0710449 ay:-0.943848 az:-0.592773 gx:-19.8168 gy:10.2824 gz:-6.38168 | Class: 5 | Delay: 3.27056 ms
ax:0.0756836 ay:-0.969238 az:-0.590332 gx:-28.7634 gy:11.9542 gz:-9.1374 | Class: 5 | Delay: 3.27052 ms
ax:0.0791016 ay:-0.986572 az:-0.587646 gx:-38.2595 gy:14.1756 gz:-11.3817 | Class: 5 | Delay: 3.29263 ms
ax:0.092041 ay:-0.98584 az:-0.59375 gx:-47.7405 gy:16.4046 gz:-12.2443 | Class: 5 | Delay: 3.27924 ms
ax:0.0908203 ay:-0.944092 az:-0.598145 gx:-56.2672 gy:18.4809 gz:-12.5573 | Class: 5 | Delay: 3.27313 ms
ax:0.101318 ay:-0.911621 az:-0.616943 gx:-62.7481 gy:20.0916 gz:-13.7252 | Class: 5 | Delay: 3.26587 ms
ax:0.098877 ay:-0.866455 az:-0.624512 gx:-67.3664 gy:23.0534 gz:-15.8779 | Class: 5 | Delay: 3.27082 ms
ax:0.106934 ay:-0.84375 az:-0.653564 gx:-71.771 gy:24.6183 gz:-17.5115 | Class: 5 | Delay: 3.27047 ms
