timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista
1777240191112,-0.0189034,1.07311,-0.131355,0.148567,0.020577,-0.00964583,3.45383,1
1777240191126,-0.0167202,1.0692,-0.131697,0.148712,0.0280336,-0.0168421,3.38094,1
1777240191139,-0.0149743,1.0645,-0.134046,0.147427,0.0340315,-0.0242856,3.46446,1
1777240191153,-0.0142987,1.06133,-0.134004,0.146038,0.0393375,-0.0320994,3.39034,1
1777240191166,-0.0163725,1.05619,-0.133171,0.143618,0.0433097,-0.0380533,3.49959,1
1777240191180,-0.0183984,1.05258,-0.132479,0.140148,0.0462926,-0.0407102,3.39501,1
1777240191194,-0.0218034,1.05071,-0.131718,0.136196,0.0481448,-0.0386407,3.50423,1
1777240191207,-0.0255241,1.04889,-0.13082,0.131841,0.0482831,-0.031592,3.45277,1
1777240191221,-0.0295702,1.04655,-0.130193,0.126565,0.047643,-0.0193722,3.34164,1
1777240191234,-0.0298835,1.04587,-0.129395,0.12168,0.0463493,-0.00380854,3.44921,1
1777240191248,-0.0286729,1.04392,-0.129395,0.116713,0.0445373,0.0126291,3.38964,1
1777240191261,-0.0269824,1.0415,-0.129477,0.111592,0.0419963,0.0293393,3.57721,1
1777240191275,-0.0235379,1.04031,-0.128664,0.107418,0.0394223,0.045048,3.36786,1
1777240191288,-0.017945,1.0402,-0.126815,0.104176,0.0368085,0.0579444,3.42333,1
1777240191302,-0.0139667,1.0373,-0.127138,0.101004,0.0342728,0.0680065,3.42481,1
1777240191315,-0.00922559,1.03592,-0.126498,0.0977405,0.0316909,0.075907,3.3581,1
1777240191329,-0.00423003,1.03395,-0.126263,0.0944803,0.0289884,0.0809622,3.43623,1
1777240191343,-0.00174687,1.0321,-0.12637,0.091266,0.0265146,0.0849846,3.35834,1
1777240191356,0.00193906,1.03109,-0.126471,0.0887243,0.0239611,0.0878308,3.43205,4
1777240191370,0.00399402,1.0307,-0.126362,0.0862353,0.0216708,0.0905473,3.42629,4
1777240191383,0.00735792,1.02947,-0.126258,0.0841214,0.0194661,0.0927645,3.53807,4
1777240191397,0.0112316,1.02846,-0.125174,0.0819163,0.017171,0.0944935,3.42144,4
1777240191410,0.0163806,1.02492,-0.125931,0.0794281,0.0149404,0.094721,3.4079,4
1777240191424,0.0211997,1.02244,-0.125304,0.0770324,0.0126637,0.0932658,3.44525,4
1777240191437,0.0239683,1.02149,-0.124944,0.074163,0.0102534,0.0900554,3.35608,4
1777240191451,0.0280332,1.0217,-0.124578,0.0718785,0.00780285,0.0856248,3.43957,4
1777240191465,0.0312812,1.0205,-0.125464,0.0694052,0.00539551,0.0802995,3.46051,4
1777240191478,0.0335527,1.01801,-0.126287,0.0665441,0.00317031,0.0746863,3.45357,4
1777240191492,0.0354914,1.01768,-0.127023,0.0639975,0.000890083,0.069024,3.37714,4
1777240191505,0.0366777,1.01642,-0.12758,0.0611785,-0.00134359,0.0638421,3.39275,4
1777240191519,0.0363185,1.01588,-0.12771,0.0585775,-0.0032807,0.060291,3.42266,4
