Starting real-time gait reader (100Hz). Press any key to stop.
Expected Class Range: 1-5.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:-0.162354 ay:-0.973633 az:-0.0986328 gx:0.274809 gy:-0.89313 gz:0.587786 | Class: 1 | Delay: 3.27234 ms
ax:-0.166504 ay:-0.980713 az:-0.0952148 gx:0.312977 gy:-0.610687 gz:0.358779 | Class: 1 | Delay: 3.27182 ms
ax:-0.158691 ay:-0.97583 az:-0.101074 gx:-0.0916031 gy:-0.89313 gz:0.70229 | Class: 1 | Delay: 3.28277 ms
ax:-0.162354 ay:-0.982422 az:-0.0993652 gx:0.122137 gy:-1.03817 gz:0.725191 | Class: 5 | Delay: 3.2709 ms
ax:-0.164551 ay:-0.986572 az:-0.0949707 gx:0.412214 gy:-0.725191 gz:0.732824 | Class: 5 | Delay: 3.28569 ms
ax:-0.158691 ay:-0.977295 az:-0.0986328 gx:0.114504 gy:-0.793893 gz:0.580153 | Class: 1 | Delay: 3.2696 ms
ax:-0.159912 ay:-0.984131 az:-0.106934 gx:-0.0229008 gy:-1.03817 gz:0.51145 | Class: 5 | Delay: 3.27173 ms
ax:-0.154053 ay:-0.980469 az:-0.0976562 gx:0.152672 gy:-0.946565 gz:0.664122 | Class: 5 | Delay: 3.26947 ms
ax:-0.16333 ay:-0.983398 az:-0.0900879 gx:0.114504 gy:-0.862595 gz:0.633588 | Class: 5 | Delay: 3.27067 ms
ax:-0.1604 ay:-0.982666 az:-0.0979004 gx:0.137405 gy:-1.0916 gz:0.610687 | Class: 5 | Delay: 3.27947 ms
ax:-0.162598 ay:-0.984131 az:-0.108398 gx:0.152672 gy:-0.78626 gz:0.793893 | Class: 5 | Delay: 3.43418 ms
ax:-0.158691 ay:-0.987305 az:-0.10376 gx:0.290076 gy:-0.70229 gz:0.648855 | Class: 5 | Delay: 3.33768 ms
ax:-0.1604 ay:-0.977539 az:-0.10498 gx:0.152672 gy:-0.954198 gz:0.664122 | Class: 5 | Delay: 3.32421 ms
