t,mode,S,prom
23.01,1.0,1.0,-1.7188544750213623
23.02,1.0,1.0,-1.7226075410842896
23.03,2.0,2.0,-1.7049599170684815
23.04,2.0,2.0,-1.6571413755416873
23.05,2.0,2.0,-1.5641796827316283
23.06,2.0,2.0,-1.421557492017746
23.07,2.0,2.0,-1.2789353013038636
23.08,2.0,2.0,-1.0979019969701769
23.09,2.0,2.0,-0.8878623068332671
23.1,2.0,2.0,-0.6521520793437958
23.11,2.0,2.0,-0.4243385851383209
23.12,2.0,2.0,-0.16761561036109923
23.13,3.0,3.0,0.10324754118919371
23.14,3.0,3.0,0.37314320206642154
23.15,3.0,3.0,0.6228049099445343
23.16,3.0,3.0,0.8283285975456238
23.17,3.0,3.0,1.046997445821762
23.18,3.0,3.0,1.2299522429704666
23.19,3.0,3.0,1.3736992835998536
23.2,3.0,3.0,1.4806916594505313
23.21,3.0,3.0,1.5876840353012085
23.22,3.0,3.0,1.669431698322296
23.23,3.0,3.0,1.7381748914718629
23.24,3.0,3.0,1.800489115715027
23.25,3.0,3.0,1.8579783678054809
23.26,3.0,3.0,1.9154676198959353
23.27,3.0,3.0,1.968887543678284
23.28,3.0,3.0,2.0200970292091367
23.29,3.0,3.0,2.069504189491272
23.3,3.0,3.0,2.115823006629944
23.31,3.0,3.0,2.1576934814453126
23.32,3.0,3.0,2.195899188518524
23.33,3.0,3.0,2.2215136051177975
23.34,3.0,3.0,2.235037159919739
23.35,3.0,3.0,2.2371758699417112
23.36,3.0,3.0,2.2386553049087525
23.37,4.0,4.0,2.2310589075088503
23.38,4.0,4.0,2.2188960313797
23.39,4.0,4.0,2.20637788772583
23.4,4.0,4.0,2.194072914123536
23.41,4.0,4.0,2.1818124532699583
23.42,4.0,4.0,2.1695519924163817
23.43,4.0,4.0,2.1556924343109127
23.44,4.0,4.0,2.138203811645508
23.45,4.0,4.0,2.119905924797058
23.46,4.0,4.0,2.1034836530685426
23.47,4.0,4.0,2.087061381340027
23.48,4.0,4.0,2.070808267593384
23.49,4.0,4.0,2.053974843025208
23.5,4.0,4.0,2.0357941150665284
23.51,4.0,4.0,2.0125385522842407
23.52,4.0,4.0,1.9892829895019528
23.53,4.0,4.0,1.958182549476624
23.54,4.0,4.0,1.9173346281051635
23.55,4.0,4.0,1.8624918937683104
23.56,4.0,4.0,1.7898912668228149
23.57,4.0,4.0,1.7172906398773191
23.58,4.0,4.0,1.6264793634414674
23.59,4.0,4.0,1.5156424522399905
23.6,4.0,4.0,1.3808148145675658
23.611,4.0,4.0,1.2236531019210817
23.62,4.0,4.0,1.0664913892745973
23.631,4.0,4.0,0.891082739830017
23.641,4.0,4.0,0.6971667647361756
23.651,4.0,4.0,0.4902893722057343
23.661,4.0,4.0,0.29627939462661745
23.671,4.0,4.0,0.10226941704750062
23.681,5.0,5.0,-0.052617299556732174
23.691,5.0,5.0,-0.1715544879436493
23.701,5.0,5.0,-0.2603021740913391
23.711,5.0,5.0,-0.3294584959745407
23.721,5.0,5.0,-0.39861481785774233
23.731,5.0,5.0,-0.4690278708934784
23.741,5.0,5.0,-0.5255246639251708
23.751,5.0,5.0,-0.5488120794296265
23.761,5.0,5.0,-0.5617898166179657
23.771,5.0,5.0,-0.574767553806305
23.781,5.0,5.0,-0.5990986883640289
23.791,5.0,5.0,-0.625357311964035
23.801,5.0,5.0,-0.6510779917240144
23.811,5.0,5.0,-0.6652770012617111
23.821,5.0,5.0,-0.679476010799408
23.831,5.0,5.0,-0.6611068665981292
23.841,5.0,5.0,-0.6299576580524444
23.851,5.0,5.0,-0.6220842301845552
23.861,5.0,5.0,-0.6208463430404664
23.871,5.0,5.0,-0.6460954785346985
23.881,5.0,5.0,-0.6915766954421997
23.891,5.0,5.0,-0.7425234615802766
23.901,5.0,5.0,-0.7898499488830566
23.911,5.0,5.0,-0.8364767313003539
23.921,5.0,5.0,-0.8801205098628998
23.931,5.0,5.0,-0.9234323978424072
23.941,5.0,5.0,-0.9641473233699799
23.951,5.0,5.0,-0.987303191423416
23.961,5.0,5.0,-1.0104590594768523
23.971,5.0,5.0,-1.00685653090477
23.981,5.0,5.0,-0.9914162099361422
23.991,5.0,5.0,-0.9733573138713838
24.001,5.0,5.0,-0.946019047498703
24.011,5.0,5.0,-0.9186807811260224
24.021,5.0,5.0,-0.8814513444900512
24.031,5.0,5.0,-0.837688547372818
