time,ax,ay,az,gx,gy,gz
1746730182.197241,-0.85,-10.85,-3.49,-1.84,1.08,1.9
1746730182.205659,-0.68,-11.48,-2.45,-1.53,1.04,1.99
1746730182.222219,-5.71,-6.7,0.64,-0.55,2.76,0.93
1746730182.2305944,4.03,-9.72,-5.15,-1.48,1.13,0.71
1746730182.2720304,1.77,-10.07,0.9,-1.07,0.27,0.7
1746730182.2720304,8.85,-15.69,-1.99,-1.07,-0.61,1.63
1746730182.2720304,1.27,-10.73,8.88,-1.24,0.46,2.29
1746730182.280125,4.13,-12.86,3.45,-1.9,0.32,3.02
1746730182.2802982,1.99,-10.53,1.39,-2.52,0.71,3.01
1746730182.2887187,1.69,-8.4,0.39,-2.62,0.67,2.95
1746730182.297171,0.15,-5.3,0.7,-2.54,0.76,2.78
1746730182.305515,0.46,-4.02,-1.5,-2.29,1.02,2.37
1746730182.3221478,0.78,-2.02,-2.82,-1.86,0.94,1.94
1746730182.330588,1.74,-2.07,-4.31,-1.01,0.65,1.5
1746730182.3554397,2.04,-3.22,-2.27,0.06,0.37,1.17
1746730182.3554397,2.04,-4.8,0.56,0.48,0.38,0.93
1746730182.3554397,2.4,-6.28,2.18,0.2,0.46,0.83
1746730182.3716822,-6.09,2.54,8.19,-1.25,1.47,0.03
1746730182.3799787,-3.71,0.4,-1.49,-0.94,2.32,-1.43
1746730182.3882754,-2.82,7.87,-6.7,0.11,1.66,-3.34
1746730182.3964891,0.42,7.68,-9.14,2.38,-0.18,-4.37
1746730182.4131649,5.39,-6.23,-3.93,3.77,-1.47,-4.37
1746730182.4208467,7.06,-18.25,-5.36,2.95,-1.92,-4.37
1746730182.4294338,9.6,-19.61,-15.16,0.75,-1.6,-4.37
1746730182.4540179,9.23,-12.46,-10.55,0.48,-1.85,-3.04
1746730182.4542177,6.36,-11.02,-7.55,2.73,-1.27,-1.91
1746730182.4623535,6.79,-11.61,-3.78,4.37,-1.23,-1.27
1746730182.4706886,2.93,-18.41,0.39,4.37,-1.78,-0.67
1746730182.4791586,-3.67,-15.3,6.76,3.03,-1.38,-0.61
1746730182.4875927,-4.32,-15.1,3.29,-0.56,-0.35,-0.8
1746730182.4960792,-3.26,-10.65,-4.91,-2.12,0.52,-0.81
1746730182.5124998,-0.16,-5.26,-13.87,-0.44,0.25,-0.67
1746730182.5209258,0.82,-6.05,-13.2,2.33,-0.88,-0.8
1746730182.52921,-1.0,-11.67,-3.12,2.84,-1.3,-0.59
1746730182.586313,-2.92,-12.99,0.82,0.84,-0.66,-0.68
1746730182.586313,-0.22,-10.33,-5.29,-0.7,-0.06,-0.62
1746730182.586313,2.66,-8.24,-9.54,0.18,-0.33,-0.67
1746730182.586313,1.31,-10.8,-6.49,0.81,-0.48,-0.5
1746730182.5945828,1.43,-11.77,-6.02,0.4,-0.24,-0.33
1746730182.5945828,1.94,-11.67,-6.97,0.02,-0.16,-0.18
1746730182.6029232,1.15,-9.77,-7.41,0.17,-0.08,-0.02
1746730182.610927,0.71,-10.31,-7.83,0.37,-0.1,0.07
1746730182.619349,0.17,-10.58,-7.23,0.24,-0.04,0.18
1746730182.6278856,-1.16,-9.38,-7.29,0.22,0.02,0.22
1746730182.6524813,-1.54,-8.8,-7.85,0.23,-0.03,0.13
1746730182.6524813,-1.28,-9.13,-7.56,0.27,-0.09,0.07
